entity_id,type,unit,2025-01-01T05:00:00.000Z,2025-02-01T05:00:00.000Z,2025-03-01T05:00:00.000Z,2025-04-01T04:00:00.000Z,2025-05-01T04:00:00.000Z,2025-06-01T04:00:00.000Z,2025-07-01T04:00:00.000Z,2025-08-01T04:00:00.000Z,2025-09-01T04:00:00.000Z,2025-10-01T04:00:00.000Z,2025-11-01T04:00:00.000Z,2025-12-01T05:00:00.000Z
sensor.emoncms_10_0_2_120_emoncms_panel_1_left_use_kwh,grid_consumption,kWh,47.80000000000018,12.909999999999854,,-161.82999999999993,239.9300000000003,133.98000000000002,188.30999999999995,181.0399999999995,163.32999999999993,119.20000000000073,50.92000000000007,3.869999999999891
sensor.emoncms_10_0_2_120_emoncms_panel_1_right_use_kwh,grid_consumption,kWh,111.42000000000053,26.73999999999978,,-218.23999999999933,375.1099999999997,194.64000000000033,252.76999999999953,242.42000000000007,219.52000000000044,157.1299999999992,64.86000000000058,4.710000000000036
sensor.emoncms_10_0_2_120_emoncms_panel_2_left_use_kwh,grid_consumption,kWh,651.460000000001,99.89999999999964,,-974.880000000001,1136.9500000000007,612.2700000000004,664.2199999999975,644.880000000001,605.0499999999993,693.5699999999997,567.7900000000009,31.38000000000102
sensor.emoncms_10_0_2_120_emoncms_panel_2_right_use_kwh,grid_consumption,kWh,748.2299999999996,139.65999999999985,,-3475.5200000000004,1131.050000000003,1430.3199999999997,1474.2199999999975,1471.4099999999999,1392.4800000000032,1125.25,908.8100000000013,80.29999999999563
sensor.emoncms_10_0_2_120_emoncms_panel_1_left_use_kwh_cost,grid_consumption_cost,USD,5.251399999998398,1.420099999999561,,-17.77709999999803,26.39010000000036,14.736700000000837,20.710800000005165,19.905600000003687,17.96299999998662,12.976700000002424,5.600099999998122,0.42570000000023356
sensor.emoncms_10_0_2_120_emoncms_panel_1_right_use_kwh_cost,grid_consumption_cost,USD,12.24849999999942,2.941400000000783,,-23.976699999999173,41.2587999999964,21.407100000003183,27.799200000003367,26.6563000000002,24.142799999992093,17.14460000000321,7.133500000007302,0.5181000000007714
sensor.emoncms_10_0_2_120_emoncms_panel_2_left_use_kwh_cost,grid_consumption_cost,USD,71.60339999999994,10.988999999999805,,-107.12239999999386,125.05239999998577,67.34089999999856,73.0575999999889,70.8872999999918,66.54669999994974,75.78450000000214,62.436000000003105,3.451800000000617
sensor.emoncms_10_0_2_120_emoncms_panel_2_right_use_kwh_cost,grid_consumption_cost,USD,82.25249999999414,15.362599999999475,,-382.04760000000545,124.3890999999839,157.31979999999797,162.14880000000431,161.76820000000055,153.15740000000494,123.04710000000216,99.940500000003,8.833000000000311
sensor.sensor_cerbo_total_battery_in_integral,battery_in,kWh,196.0840000000003,39.659000000000106,-2617.417417,660.795,892.4819999999996,501.4010000000003,214.54899999999998,-2269.227,0,0,296.753,57.28899999999999
sensor.sensor_cerbo_total_battery_out_integral,battery_out,kWh,253.75200000000018,51.15099999999984,-2226.239,319.5340000000001,451.4209999999998,581.444,304.69000000000005,-1657.089,0,0,330.0149999999999,55.85199999999986
